Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,Denver,Colorado,United States of America,2008-07-31,0000927066,,56.94,57.07,75.26,73.64,77.21
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,Moline,Illinois,United States of America,,0000315189,1837,165.02,167.06,172.38,131.51,153.71
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,Atlanta,Georgia,United States of America,2013-09-11,0000027904,1929,56.13,57.23,58.53,26.59,28.61
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,Charlotte,North Carolina,United States of America,2008-11-14,0000818479,,58.05,53.2,56.54,36.94,43.91
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,Oklahoma City,Oklahoma,United States of America,2000-08-30,0001090012,,28.34,23.63,25.7,6.51,11.12
DXCM,DexCom,reports,Health Care,Health Care Equipment,San Diego,California,United States of America,2020-05-12,0001093557,1999,151.49,149.61,218.56,255.51,398.2
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,Midland,Texas,United States of America,2018-12-03,0001539838,2007,108.89,87.39,91.93,24.96,41.43
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,San Francisco,California,United States of America,2016-05-18,0001297996,,114.97,126.34,118.08,131.74,140.13
DFS,Discover Financial Services,reports,Financials,Consumer Finance,Riverwoods,Illinois,United States of America,2007-07-02,0001393612,,76.57,79.91,83.68,32.51,49.32
DISCA,"Discovery, Inc. (Class A)",reports,Communication Services,Broadcasting,Silver Spring,Maryland,United States of America,2010-03-01,0001437107,,31.06,26.62,32.82,18.76,21.23
DISCK,"Discovery, Inc. (Class C)",reports,Communication Services,Broadcasting,Silver Spring,Maryland,United States of America,2014-08-07,0001437107,,28.82,24.7,30.61,16.81,19.35
DISH,Dish Network,reports,Communication Services,Cable & Satellite,Meridian,Colorado,United States of America,2017-03-13,0001001082,,39.08,34.27,35.87,19.07,33.05
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,Goodlettsville,Tennessee,United States of America,2012-12-03,0000029534,1939,134.59,158.43,155.98,147.63,189.66
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,Chesapeake,Virginia,United States of America,2011-12-19,0000935703,,108.79,115.09,94.69,71.33,93.67
D,Dominion Energy,reports,Utilities,Electric Utilities,Richmond,Virginia,United States of America,,0000715957,1983,73.81,78.23,81.09,68.3,80.61
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,Ann Arbor,Michigan,United States of America,2020-05-12,0001286681,1960,277.02,243.52,292.5,311.37,369.17
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,Downers Grove,Illinois,United States of America,1985-10-31,0000029905,1955,99.36,98.64,115.04,79.17,94.57
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,Midland,Michigan,United States of America,2019-04-01,0001751788,2019,46.93,45.75,53.38,27.35,40.98
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,Detroit,Michigan,United States of America,,0000936340,1995,123.38,128.82,127.32,91.13,106.56
DUK,Duke Energy,reports,Utilities,Electric Utilities,Charlotte,North Carolina,United States of America,1976-06-30,0001326160,,84.33,92.56,89.36,77.02,80.25
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,Indianapolis,Indiana,United States of America,2017-07-26,0000783280,,31.02,33.23,34.42,30.52,34.58
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,Midland,Michigan,United States of America,2019-04-02,0001666700,2017,73.3,70.52,64.0,32.19,52.47
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,Tysons Corner,Virginia,United States of America,2017-04-04,0001688568,2017,54.26,28.94,37.29,12.04,16.08
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,New York,New York,United States of America,2004-03-31,0001015780,,44.85,35.67,45.39,32.11,48.73
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,Kingsport,Tennessee,United States of America,1994-01-01,0000915389,,75.4,71.74,78.36,43.99,69.32
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,Dublin,Leinster,Ireland,,0001551182,1911,49.07,81.75,93.53,71.89,86.91
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,San Jose,California,United States of America,,0001065088,1995,39.35,38.52,36.11,29.23,51.31
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,St. Paul,Minnesota,United States of America,1989-01-31,0000031462,,196.04,197.49,192.71,150.07,195.62
EIX,Edison Int'l,reports,Utilities,Electric Utilities,Rosemead,California,United States of America,,0000827052,1886,64.34,72.9,73.0,51.67,54.7
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,Irvine,California,United States of America,2011-04-01,0001099800,,62.22,72.75,76.67,60.28,67.89
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,Redwood City,California,United States of America,2002-07-22,0000712515,,102.65,97.81,107.94,98.38,130.69
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,Ferguson,Missouri,United States of America,1965-03-31,0000032604,1890,65.78,66.41,75.33,44.39,61.38
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,New Orleans,Louisiana,United States of America,,0000065984,1913,99.45,114.19,117.85,89.11,93.77
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,Houston,Texas,United States of America,2000-11-02,0000821189,,93.15,73.57,83.29,34.26,49.65
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,Atlanta,Georgia,United States of America,1997-06-19,0000033185,1899,135.38,139.54,139.94,115.14,167.72
EQIX,Equinix,reports,Real Estate,Specialized REITs,Redwood City,California,United States of America,2015-03-20,0001101239,,500.45,567.66,579.17,605.74,688.92
EQR,Equity Residential,reports,Real Estate,Residential REITs,Chicago,Illinois,United States of America,2001-12-03,0000906107,,73.86,83.83,79.73,58.49,57.67
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,Palo Alto,California,United States of America,2014-04-02,0000920522,,284.24,318.15,296.71,204.31,226.43
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,New York,New York,United States of America,2006-01-05,0001001250,,183.57,197.93,206.02,153.03,185.65
EVRG,Evergy,reports,Utilities,Electric Utilities,Kansas City,Missouri,United States of America,2018-06-05,0001711269,1909,58.28,64.81,64.14,52.21,59.18
ES,Eversource Energy,reports,Utilities,Multi-Utilities,Springfield,Massachusetts,United States of America,,0000072741,1966,73.81,83.4,83.91,74.96,83.09
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,Hamilton,Hamilton,Bermuda,2017-06-19,0001095073,,241.31,261.14,273.98,178.17,202.53
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,Chicago,Illinois,United States of America,,0001109357,2000,46.34,46.97,44.94,34.82,35.99
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle,Washington,United States of America,2007-10-02,0001324424,,132.63,133.49,108.47,52.86,82.67
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,Seattle,Washington,United States of America,2007-10-10,0000746515,1979,75.96,73.75,78.08,64.5,74.3
